ID_servicio,Fecha_solicitud,Ciudad,Tipo_servicio,Canal,Tecnico_id,Antiguedad_tecnico_meses,Tiempo_respuesta_horas,Duracion_servicio_min,Costo_repuestos,Valor_servicio,Reproceso,Satisfaccion,Estado
S112886,2026-03-07,Montería,Reparación,App,T075,6.0,45.1,84.0,95200.0,193000.0,0,4.0,Completado
S111605,2026-01-01,Santa Marta,Mantenimiento,App,T038,66.0,23.2,95.0,4800.0,124000.0,0,4.0,Completado
S111039,2025-12-14,Montería,Instalación,Call center,T091,6.0,43.2,82.0,72400.0,397000.0,0,3.0,Completado
S100185,2024-07-09,Valledupar,Instalación,Web,T024,20.0,6.1,156.0,36600.0,417000.0,1,4.0,Completado
S106847,2025-05-30,Santa Marta,Mantenimiento,Web,T059,43.0,26.2,50.0,22100.0,118000.0,0,4.0,Completado
S114653,2026-06-04,Cartagena,Instalación,Presencial,T028,71.0,11.0,140.0,90200.0,324000.0,0,5.0,Cancelado
S110079,2025-11-03,Sincelejo,Reparación,Call center,T004,36.0,32.8,124.0,196600.0,125000.0,0,4.0,Completado
S106161,2025-04-24,Santa Marta,Mantenimiento,Presencial,T031,41.0,12.7,96.0,20700.0,98000.0,0,5.0,Completado
S101412,2024-09-07,Cartagena,Reparación,Web,T048,42.0,39.5,153.0,35500.0,148000.0,0,4.0,Completado
S100036,2024-07-02,Cartagena,Garantía,App,T012,26.0,16.8,123.0,16800.0,0.0,0,4.0,Completado
S100642,2024-07-29,Cartagena,Mantenimiento,App,T028,48.0,20.3,83.0,4400.0,100000.0,0,4.0,Completado
S114528,2026-05-29,Cartagena,Instalación,Presencial,T003,71.0,5.8,264.0,48400.0,322000.0,0,5.0,Completado
S100325,2024-07-14,Valledupar,Reparación,App,T044,64.0,23.4,123.0,10500.0,228000.0,0,4.0,Completado
S110613,2025-11-29,Valledupar,Instalación,App,T008,89.0,39.5,214.0,45000.0,176000.0,0,4.0,Completado
S107575,2025-07-01,Santa Marta,Mantenimiento,App,T009,52.0,3.7,72.0,10000.0,89000.0,0,4.0,Completado
S109590,2025-10-10,Barranquilla,Instalación,Web,T029,27.0,19.6,196.0,32600.0,470000.0,0,4.0,Completado
S100199,2024-07-09,Montería,Reparación,Call center,T070,26.0,39.4,36.0,28400.0,149000.0,0,4.0,Completado
S100753,2024-08-02,Cartagena,Instalación,Web,T028,49.0,11.0,206.0,180700.0,370000.0,0,5.0,Completado
S100508,2024-07-23,Cartagena,Instalación,App,T039,56.0,11.9,150.0,118700.0,301000.0,0,,Completado
S104787,2025-02-11,Barranquilla,Instalación,Call center,T032,47.0,18.8,151.0,48300.0,465000.0,0,4.0,Cancelado
S110050,2025-11-02,Santa Marta,Reparación,App,T080,3.0,18.8,44.0,95000.0,163000.0,0,4.0,Completado
S113452,2026-04-03,Santa Marta,Instalación,App,T019,41.0,16.8,102.0,69300.0,338000.0,0,4.0,Completado
S108105,2025-07-24,Barranquilla,Instalación,Web,T066,84.0,18.2,125.0,102200.0,290000.0,0,4.0,Cancelado
S111679,2026-01-05,Santa Marta,Mantenimiento,App,T069,30.0,31.8,61.0,10100.0,127000.0,0,4.0,Completado
S107128,2025-06-12,Cartagena,Garantía,Call center,T027,37.0,22.7,123.0,80800.0,0.0,0,4.0,Completado
S102833,2024-11-23,Barranquilla,Reparación,Web,T066,76.0,14.5,89.0,27100.0,160000.0,0,5.0,Completado
S105523,2025-03-20,Valledupar,Reparación,Call center,T005,56.0,40.3,0.0,31800.0,131000.0,0,3.0,Completado
S101760,2024-09-27,Santa Marta,Instalación,App,T034,42.0,9.6,,78300.0,308000.0,0,4.0,Completado
S106013,2025-04-16,Barranquilla,Reparación,Call center,T084,1.0,19.2,102.0,5700.0,210000.0,0,4.0,Reprogramado
S109541,2025-10-08,Santa Marta,Reparación,Web,T094,7.0,7.8,95.0,115400.0,168000.0,0,4.0,Cancelado
S114152,2026-05-09,Santa Marta,Reparación,App,T102,1.0,32.3,62.0,26100.0,117000.0,0,4.0,Completado
S102048,2024-10-12,Santa Marta,Instalación,App,T019,23.0,26.5,232.0,10600.0,372000.0,0,4.0,Completado
S114089,2026-05-06,Valledupar,Garantía,Call center,T060,62.0,47.5,79.0,91600.0,0.0,1,2.0,Completado
S112071,2026-01-24,Barranquilla,Reparación,Web,T013,31.0,16.3,100.0,109900.0,144000.0,0,5.0,Completado
S107654,2025-07-04,Sincelejo,Garantía,Call center,T050,84.0,17.8,65.0,34700.0,0.0,0,5.0,Cancelado
S104710,2025-02-06,Barranquilla,Reparación,Call center,T032,47.0,26.2,116.0,95900.0,131000.0,0,4.0,Completado
S112367,2026-02-08,Santa Marta,Instalación,Call center,T034,59.0,21.7,209.0,51700.0,316000.0,0,4.0,Completado
S104805,2025-02-12,Santa Marta,Mantenimiento,Presencial,T041,63.0,46.7,68.0,12600.0,84000.0,0,4.0,Completado
S103369,2024-12-12,Barranquilla,Instalación,Web,T032,45.0,21.2,153.0,61000.0,279000.0,0,4.0,Completado
S111822,2026-01-13,Sincelejo,Reparación,Web,T085,7.0,8.3,100.0,65400.0,145000.0,0,5.0,Completado
S103598,2024-12-19,Barranquilla,Instalación,Call center,T013,17.0,19.1,202.0,134500.0,264000.0,0,5.0,Completado
S101475,2024-09-11,Barranquilla,Instalación,Call center,T016,50.0,18.0,115.0,73800.0,325000.0,0,5.0,Completado
S108320,2025-08-04,Barranquilla,Instalación,Call center,T076,5.0,25.9,93.0,85100.0,310000.0,0,4.0,Completado
S115201,2026-06-26,Barranquilla,Instalación,Web,T030,72.0,24.9,151.0,112000.0,373000.0,0,4.0,Completado
S114361,2026-05-21,Barranquilla,Mantenimiento,App,T016,70.0,6.4,59.0,15900.0,90000.0,0,4.0,Completado
S110201,2025-11-10,Barranquilla,Instalación,App,T013,28.0,38.6,158.0,40100.0,341000.0,0,4.0,Completado
S112545,2026-02-17,Santa Marta,Garantía,Call center,T014,35.0,13.4,139.0,13300.0,0.0,0,5.0,Completado
S108852,2025-09-01,Montería,Instalación,Call center,T064,62.0,50.9,0.0,111400.0,382000.0,0,4.0,Completado
S109971,2025-10-29,Sincelejo,Reparación,App,T063,56.0,20.5,97.0,155200.0,151000.0,0,4.0,Completado
S111819,2026-01-13,Santa Marta,Instalación,Call center,T094,10.0,5.2,182.0,11000.0,335000.0,0,4.0,Completado
S100731,2024-08-02,Cartagena,Reparación,Call center,T048,41.0,7.3,93.0,14100.0,141000.0,0,4.0,Completado
S105287,2025-03-08,Barranquilla,Instalación,App,T045,24.0,17.7,206.0,51200.0,277000.0,1,3.0,Completado
S103240,2024-12-08,Santa Marta,Reparación,App,T010,61.0,15.1,62.0,143500.0,211000.0,0,4.0,Completado
S113056,2026-03-16,Barranquilla,Reparación,Presencial,T078,13.0,28.5,62.0,17600.0,187000.0,0,4.0,Reprogramado
S106280,2025-04-30,Barranquilla,Reparación,Web,T057,74.0,10.8,79.0,17300.0,114000.0,0,4.0,Completado
S112662,2026-02-24,Valledupar,Mantenimiento,Presencial,T061,32.0,13.9,83.0,23200.0,109000.0,0,5.0,Reprogramado
S112952,2026-03-10,Cartagena,Reparación,Web,T027,46.0,9.1,141.0,50000.0,172000.0,0,4.0,Reprogramado
S111947,2026-01-19,Barranquilla,Instalación,Web,T045,34.0,11.7,188.0,,354000.0,0,4.0,Completado
S107339,2025-06-21,Cartagena,Instalación,Call center,T073,3.0,29.6,72.0,18600.0,346000.0,0,3.0,Cancelado
S109175,2025-09-19,Santa Marta,Reparación,App,T038,62.0,14.1,81.0,162400.0,210000.0,0,5.0,Completado
S101266,2024-08-31,Barranquilla,Instalación,Call center,T043,14.0,33.9,155.0,82800.0,304000.0,0,3.0,Completado
S100262,2024-07-11,Montería,Reparación,App,T064,48.0,,108.0,175800.0,186000.0,0,4.0,Completado
S109684,2025-10-15,Santa Marta,Instalación,Call center,T036,41.0,32.3,165.0,21400.0,362000.0,0,5.0,Completado
S103621,2024-12-20,Valledupar,Instalación,App,T024,25.0,19.0,124.0,48300.0,359000.0,0,4.0,Completado
S111397,2025-12-25,Santa Marta,Instalación,Web,T025,58.0,35.5,134.0,308900.0,366000.0,1,2.0,Completado
S109794,2025-10-20,Cartagena,Reparación,App,T082,0.0,70.1,84.0,,176000.0,1,1.0,Completado
S110158,2025-11-07,Santa Marta,Garantía,App,T023,32.0,13.1,121.0,204500.0,0.0,0,5.0,Completado
S112703,2026-02-26,Sincelejo,Mantenimiento,Call center,T072,18.0,18.6,62.0,37200.0,84000.0,0,4.0,Completado
S101036,2024-08-19,Santa Marta,Instalación,Presencial,T019,21.0,5.3,123.0,62000.0,288000.0,0,4.0,Completado
S104399,2025-01-21,Barranquilla,Reparación,Call center,T016,54.0,33.4,89.0,75200.0,214000.0,0,4.0,Cancelado
S110072,2025-11-03,Barranquilla,Reparación,Call center,T043,28.0,19.5,76.0,88400.0,169000.0,0,4.0,Completado
S115002,2026-06-18,Barranquilla,Reparación,App,T104,17.0,10.6,84.0,117100.0,220000.0,0,5.0,Completado
S114520,2026-05-29,Sincelejo,Reparación,App,T040,31.0,41.6,144.0,136900.0,156000.0,0,4.0,Completado
S104251,2025-01-14,Santa Marta,Reparación,Presencial,T014,22.0,21.6,72.0,59900.0,211000.0,0,4.0,Completado
S102296,2024-10-25,Cartagena,Reparación,App,T048,43.0,14.0,70.0,85100.0,114000.0,1,3.0,Completado
S114388,2026-05-22,Barranquilla,Garantía,App,T066,95.0,16.5,51.0,115500.0,0.0,0,4.0,Completado
S101753,2024-09-26,Cartagena,Mantenimiento,Call center,T012,28.0,20.2,74.0,47300.0,129000.0,0,5.0,Reprogramado
S114776,2026-06-09,Santa Marta,Instalación,App,T025,63.0,9.4,157.0,105500.0,474000.0,0,5.0,Completado
S108893,2025-09-04,Barranquilla,Reparación,Call center,T095,1.0,10.6,99.0,80800.0,201000.0,0,5.0,Completado
S102512,2024-11-06,Cartagena,Mantenimiento,App,T035,24.0,24.0,38.0,5600.0,52000.0,0,5.0,Completado
S114542,2026-05-30,Cartagena,Instalación,Call center,T037,31.0,25.7,180.0,141300.0,333000.0,0,5.0,Cancelado
S111979,2026-01-20,Santa Marta,Reparación,App,T058,58.0,29.8,114.0,25800.0,127000.0,0,4.0,Completado
S104185,2025-01-11,Cartagena,Instalación,Call center,T002,54.0,15.2,123.0,49500.0,281000.0,0,4.0,Completado
S109756,2025-10-18,Cartagena,Instalación,App,T028,63.0,16.0,227.0,116800.0,345000.0,0,4.0,Completado
S110623,2025-11-30,Montería,Reparación,Call center,T091,6.0,49.5,122.0,253700.0,196000.0,0,4.0,Completado
S108978,2025-09-08,Sincelejo,Reparación,Web,T063,54.0,7.8,118.0,5900.0,204000.0,0,5.0,Completado
S104786,2025-02-11,Valledupar,Reparación,App,T061,19.0,32.8,63.0,233300.0,183000.0,0,4.0,Completado
S113465,2026-04-03,Montería,Reparación,Call center,T074,6.0,49.8,57.0,175700.0,93000.0,0,3.0,Completado
S109003,2025-09-10,Montería,Instalación,Call center,T091,3.0,27.1,128.0,46400.0,243000.0,0,4.0,Completado
S105541,2025-03-21,Cartagena,Reparación,Web,T020,34.0,3.6,111.0,112600.0,112000.0,0,5.0,Completado
S108224,2025-07-30,Barranquilla,Garantía,App,T095,0.0,12.6,115.0,26300.0,0.0,1,3.0,Completado
S102683,2024-11-16,Cartagena,Reparación,Call center,T017,76.0,37.5,72.0,71800.0,185000.0,0,4.0,Completado
S114852,2026-06-12,Santa Marta,Instalación,Call center,T023,39.0,10.6,130.0,24900.0,448000.0,0,5.0,Completado
S114428,2026-05-24,Cartagena,Reparación,App,T012,49.0,25.7,106.0,131500.0,198000.0,0,4.0,Completado
S105962,2025-04-13,Santa Marta,Reparación,Call center,T058,49.0,28.1,127.0,167600.0,198000.0,0,4.0,Completado
S107045,2025-06-08,Sincelejo,Instalación,Call center,T011,59.0,15.4,169.0,65100.0,312000.0,0,5.0,Completado
